Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
74ab949d-17ac-3309-83a0-13b4405c66aa,Fitchburg Outpatient Clinic,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,978-342-9781 Or 978-342-9781,0.0,138
e09d4c49-c2ef-3b0f-9a46-3719d9219306,UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,9784662000,0.0,668
77645e49-3f69-3d1d-bb93-dc65210e2fac,SOUTHCOAST HOSPITALS GROUP INC,363 HIGHLAND AVE,FALL RIVER,MA,027205246,41.7093779,-71.1460783680883,5086793131,0.0,26
a418cf76-2ee3-3736-a752-29ee33e86015,COMMUNITY NURSE HOME CARE  INC.,62 CENTER STREET,FAIRHAVEN,MA,027193823,41.63663425,-70.90101829397507,5089926278,0.0,1
e3089df2-a1db-372a-b660-30392d8c197b,PIONEER FAMILY HEALTH CARE LLC,178 N MAIN ST,SHARON,MA,020671229,42.13301625,-71.17263163492832,6176948356,0.0,50
ab701a70-a658-340e-8f69-ee196a7d40c6,CAREWELL URGENT CARE CENTERS OF MA  PC,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,5086947901,0.0,10
88e28a1c-aad9-36d0-832b-b579ecb95c3d,LEOMINSTER COMUNITY HEALTH CENTER,14 MANNING AVENUE,LEOMINSTER,MA,014535768,42.5253035,-71.7584413,9788470110,0.0,43
65450d34-6d61-3601-b325-9d471587b016,MEDICAL HEALTHCARE SPECIALISTS P.C.,4 COURTHOUSE LN,CHELMSFORD,MA,018241731,42.62439345,-71.35881000636567,9784598400,0.0,32
5fab4eec-522e-334a-a3e0-41605e009495,BENTLEY CASA DE RAMANA LLC,485 FRANKLIN ST,FRAMINGHAM,MA,017026215,42.2901292,-71.42823088074331,5088728801,0.0,3
817a1428-2045-3e89-9fa2-ef7d287d6fa5,GREATER LAWRENCE FAMILY HEALTH CENTER INC,70-71 N PARISH RD,LAWRENCE,MA,01843,42.690315,-71.150015,9786814769,0.0,37
667b46fe-0afa-3f70-a311-bbe3d52db050,URGENT CARE CENTERS OF CENTRAL MASSACHUSETTS LLC,757 BOSTON POST RD,WORCESTER,MA,016071728,42.231371,-72.165386,6173024194,0.0,2
bdc3ee76-9cf3-316d-b202-a8da1ea3fa20,KINDRED HOSPICE,130 RUMFORD AVENUE  SUITE 211,AUBURNDALE,MA,024661370,42.35853505,-71.24125521214887,6176634997,0.0,1
8f0ec876-22d3-3986-892e-4c2052d0fffa,FITCHBURG REHABILITATION AND NURSING CENTER LLC,94 SUMMER ST,FITCHBURG,MA,014205761,42.57835885,-71.78584786190521,7189740266,0.0,2
8e3ca57f-6f74-3d61-9803-ab1424290216,ACADEMY MANOR,89 MORTON STREET,ANDOVER,MA,018102036,42.6551409,-71.12857340697036,9784750944,0.0,2
5fcff9db-16e4-3e56-aa78-abbc16338097,THE LOWELL GENERAL HOSPITAL,295 VARNUM AVE,WESTFORD,MA,018863513,42.5792583,-71.4378411,9789376000,0.0,83
